customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-000067,Male,0,No,Yes,66,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,One year,Yes,Electronic check,58.77,3598.62,Yes
CUST-000068,Male,0,Yes,No,27,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),87.91,1769.63,No
CUST-000069,Male,0,No,No,5,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,20.37,120.72,Yes
CUST-000070,Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,58.81,1917.09,Yes
CUST-000071,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,107.26,3813.56,Yes
CUST-000072,Female,0,Yes,No,13,No,No phone service,DSL,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,80.24,1430.34,No
CUST-000073,Male,0,No,No,33,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),63.28,2615.75,Yes
CUST-000074,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),113.47,1203.87,No
CUST-000075,Male,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No,Two year,No,Mailed check,105.11,6807.31,Yes
CUST-000076,Female,1,Yes,No,34,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),50.87,2292.46,No
CUST-000077,Female,0,No,Yes,24,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),73.54,1535.5,No
CUST-000078,Female,0,Yes,No,16,Yes,No,No,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,67.96,1183.88,Yes
CUST-000079,Female,0,No,Yes,41,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,82.48,3676.04,No
CUST-000080,Female,1,No,Yes,48,No,Yes,No,No internet service,No,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,52.08,2034.47,No
CUST-000081,Male,0,No,Yes,68,Yes,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),42.91,2268.83,Yes
CUST-000082,Male,0,Yes,No,31,Yes,No,No,Yes,No internet service,No,No,Yes,No internet service,One year,No,Electronic check,111.09,2380.09,Yes
CUST-000083,Female,0,Yes,No,11,No,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,112.24,1392.0,Yes
CUST-000084,Female,0,No,No,60,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,104.02,7643.82,No
CUST-000085,Female,0,Yes,No,45,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),117.78,6406.56,No
CUST-000086,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,93.99,4088.94,No
CUST-000087,Male,0,Yes,No,7,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),96.0,513.55,No
CUST-000088,Male,0,No,Yes,22,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),95.78,2028.97,No
CUST-000089,Female,1,Yes,No,56,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,67.02,3893.68,Yes
CUST-000090,Male,0,No,No,60,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.56,5172.3,Yes
CUST-000091,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,42.5,1712.56,No
CUST-000092,Female,0,No,No,58,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,No,One year,No,Electronic check,83.77,6475.85,Yes
CUST-000093,Male,0,Yes,Yes,61,Yes,No,No,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,47.51,3710.19,Yes
CUST-000094,Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,44.3,1701.41,No
CUST-000095,Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,77.77,4915.53,No
CUST-000096,Male,0,Yes,No,21,Yes,Yes,DSL,No,No internet service,No,No,No internet service,Yes,One year,Yes,Mailed check,59.82,801.44,No
CUST-000097,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Mailed check,40.32,457.09,Yes
CUST-000098,Female,0,No,Yes,49,Yes,Yes,DSL,No internet service,No,Yes,No,No,Yes,One year,No,Credit card (automatic),101.24,4525.31,No
CUST-000099,Female,0,No,No,46,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.78,3922.63,Yes
CUST-000100,Female,0,No,No,10,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,No,Two year,Yes,Mailed check,35.11,258.39,Yes
CUST-000101,Male,0,Yes,No,60,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,18.77,1534.52,No
CUST-000102,Female,0,No,No,14,Yes,No phone service,DSL,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,52.29,553.68,No
CUST-000103,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Mailed check,99.35,7879.96,No
CUST-000104,Male,0,No,No,0,Yes,No phone service,DSL,No,No,No,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),103.6,125.22,No
CUST-000105,Male,0,No,No,58,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,32.11,2072.38,No
CUST-000106,Male,0,No,Yes,57,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),96.98,6306.27,Yes
CUST-000107,Male,1,No,Yes,56,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),29.8,1443.81,Yes
CUST-000108,Male,0,No,No,48,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),57.79,3098.86,No
CUST-000109,Female,0,Yes,No,34,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,119.86,3053.8,No
CUST-000110,Female,0,No,No,51,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),37.64,2591.83,No
CUST-000111,Female,0,No,No,20,Yes,No phone service,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,33.7,567.13,Yes
CUST-000112,Female,0,No,No,56,No,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),61.13,2752.83,Yes
CUST-000113,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),81.21,3797.15,Yes
CUST-000114,Male,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),113.16,4201.66,No
CUST-000115,Female,0,Yes,Yes,36,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,118.04,4083.88,Yes
CUST-000116,Female,0,No,No,41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),25.1,1138.14,No
CUST-000117,Female,0,No,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,32.08,46.68,No
CUST-000118,Male,1,No,No,10,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,98.66,1123.4,Yes
CUST-000119,Male,0,No,No,17,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,45.6,632.94,Yes
CUST-000120,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),108.25,708.62,Yes
CUST-000121,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),85.67,2000.55,Yes
CUST-000122,Male,0,Yes,No,48,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),29.41,1222.38,Yes
CUST-000123,Male,0,No,Yes,47,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.92,4184.22,Yes
CUST-000124,Female,1,No,Yes,34,Yes,No,No,Yes,No internet service,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),35.99,1178.8,Yes
CUST-000125,Male,1,No,No,62,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,One year,No,Mailed check,61.2,2854.66,Yes
CUST-000126,Female,0,No,No,41,Yes,No phone service,No,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,74.32,2298.77,Yes
CUST-000127,Male,0,No,No,5,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,69.08,356.93,Yes
CUST-000128,Female,0,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),87.99,3402.63,No
CUST-000129,Male,0,No,No,41,No,Yes,No,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,84.57,3991.35,Yes
CUST-000130,Male,0,No,No,46,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,119.19,7429.98,Yes
CUST-000131,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,119.94,4629.55,No
CUST-000132,Male,0,No,No,40,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),70.68,3734.4,Yes
CUST-000133,Female,0,No,No,6,Yes,No,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,27.71,112.83,Yes
CUST-000134,Male,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,92.24,2340.56,No
CUST-000135,Female,0,No,No,58,No,No,DSL,Yes,No internet service,No,No internet service,No,Yes,Two year,Yes,Mailed check,117.62,8030.1,No
CUST-000136,Female,1,No,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),50.47,1342.2,Yes
CUST-000137,Male,0,Yes,No,44,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),65.04,3647.16,No
CUST-000138,Male,0,Yes,Yes,2,No,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),61.33,79.17,No
CUST-000139,Female,0,No,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,23.24,709.71,Yes
CUST-000140,Female,0,Yes,No,31,Yes,No,DSL,No,No internet service,No internet service,No internet service,No,No,Two year,Yes,Mailed check,86.57,2418.61,Yes
CUST-000141,Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),54.04,3233.19,Yes
CUST-000142,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,One year,Yes,Electronic check,98.32,1089.02,No
CUST-000143,Female,0,No,Yes,20,No,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,102.88,2874.08,Yes
CUST-000144,Male,0,No,No,29,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No,Two year,No,Mailed check,101.77,1921.11,Yes
CUST-000145,Female,0,No,No,72,Yes,Yes,No,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),60.5,5495.56,Yes
CUST-000146,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),50.8,3501.08,No
CUST-000147,Female,1,No,Yes,2,Yes,No,DSL,No internet service,Yes,Yes,No,No,No internet service,Two year,No,Electronic check,94.38,224.26,Yes
CUST-000148,Male,0,No,Yes,17,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),99.74,1982.77,Yes
CUST-000149,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,68.11,5170.78,Yes
CUST-000150,Female,0,No,Yes,4,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),109.09,325.98,Yes
CUST-000151,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),32.68,1217.03,No
CUST-000152,Female,0,No,Yes,20,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,107.67,2323.14,No
CUST-000153,Female,0,Yes,No,66,Yes,No,No,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,27.8,1620.29,Yes
CUST-000154,Male,0,No,No,21,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),33.66,494.12,Yes
CUST-000155,Male,1,No,No,31,Yes,No,No,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,72.45,1682.02,Yes
CUST-000156,Female,0,No,No,48,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),24.89,1033.91,Yes
CUST-000157,Male,0,No,Yes,9,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),23.39,138.13,Yes
CUST-000158,Male,0,No,No,40,Yes,No,No,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,18.05,466.07,No
CUST-000159,Female,1,No,No,36,No,Yes,DSL,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),62.5,2998.85,Yes
CUST-000160,Male,0,Yes,No,57,Yes,No,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,97.01,4698.38,No
CUST-000161,Male,0,No,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),21.55,2150.18,Yes
CUST-000162,Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Two year,No,Mailed check,84.53,5564.75,No
CUST-000163,Male,0,No,No,29,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.96,2111.35,Yes
CUST-000164,Female,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,35.14,1194.28,Yes
CUST-000165,Male,0,No,Yes,30,Yes,No,No,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),32.98,1069.19,Yes
CUST-000166,Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No,One year,Yes,Electronic check,105.8,7194.25,No
CUST-000167,Male,0,Yes,No,23,No,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),101.96,1587.51,No
CUST-000168,Female,0,No,No,12,Yes,Yes,DSL,No internet service,No,No,No,Yes,No,One year,Yes,Electronic check,72.97,657.47,No
CUST-000169,Female,0,No,Yes,24,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),101.56,1611.91,No
CUST-000170,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,27.46,29.75,Yes
CUST-000171,Male,1,Yes,No,7,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,One year,Yes,Electronic check,58.24,566.38,Yes
